Ping size: 0
PING 88.80.187.84 (88.80.187.84) 0(28) bytes of data.
[1621803569.345748] 72 bytes from 88.80.187.84: icmp_seq=49 ttl=51 time=33.0 ms
[1621803570.347102] 72 bytes from 88.80.187.84: icmp_seq=50 ttl=51 time=33.2 ms
[1621803571.347785] 72 bytes from 88.80.187.84: icmp_seq=51 ttl=51 time=32.5 ms
[1621803572.349789] 72 bytes from 88.80.187.84: icmp_seq=52 ttl=51 time=32.8 ms
[1621803573.352409] 72 bytes from 88.80.187.84: icmp_seq=53 ttl=51 time=33.4 ms
[1621803574.353728] 72 bytes from 88.80.187.84: icmp_seq=54 ttl=51 time=33.1 ms
[1621803575.354372] 72 bytes from 88.80.187.84: icmp_seq=55 ttl=51 time=32.4 ms
[1621803576.356444] 72 bytes from 88.80.187.84: icmp_seq=56 ttl=51 time=32.9 ms
[1621803577.357046] 72 bytes from 88.80.187.84: icmp_seq=57 ttl=51 time=32.4 ms
[1621803578.359065] 72 bytes from 88.80.187.84: icmp_seq=58 ttl=51 time=32.8 ms
[1621803579.361539] 72 bytes from 88.80.187.84: icmp_seq=59 ttl=51 time=33.3 ms
[1621803580.363048] 72 bytes from 88.80.187.84: icmp_seq=60 ttl=51 time=33.3 ms
[1621803581.363595] 72 bytes from 88.80.187.84: icmp_seq=61 ttl=51 time=32.3 ms
[1621803582.365456] 72 bytes from 88.80.187.84: icmp_seq=62 ttl=51 time=32.6 ms
[1621803583.367708] 72 bytes from 88.80.187.84: icmp_seq=63 ttl=51 time=33.1 ms
[1621803584.368613] 72 bytes from 88.80.187.84: icmp_seq=64 ttl=51 time=32.7 ms
[1621803585.369849] 72 bytes from 88.80.187.84: icmp_seq=65 ttl=51 time=32.0 ms
[1621803586.371186] 72 bytes from 88.80.187.84: icmp_seq=66 ttl=51 time=32.1 ms
[1621803587.373560] 72 bytes from 88.80.187.84: icmp_seq=67 ttl=51 time=33.2 ms
[1621803588.374456] 72 bytes from 88.80.187.84: icmp_seq=68 ttl=51 time=32.7 ms
[1621803589.376158] 72 bytes from 88.80.187.84: icmp_seq=69 ttl=51 time=32.5 ms
[1621803590.378171] 72 bytes from 88.80.187.84: icmp_seq=70 ttl=51 time=32.8 ms
[1621803591.380454] 72 bytes from 88.80.187.84: icmp_seq=71 ttl=51 time=33.1 ms
[1621803592.380956] 72 bytes from 88.80.187.84: icmp_seq=72 ttl=51 time=32.3 ms
[1621803593.383172] 72 bytes from 88.80.187.84: icmp_seq=73 ttl=51 time=33.0 ms
[1621803594.384495] 72 bytes from 88.80.187.84: icmp_seq=74 ttl=51 time=33.1 ms
[1621803595.384922] 72 bytes from 88.80.187.84: icmp_seq=75 ttl=51 time=32.2 ms
[1621803596.386688] 72 bytes from 88.80.187.84: icmp_seq=76 ttl=51 time=32.6 ms
[1621803597.388667] 72 bytes from 88.80.187.84: icmp_seq=77 ttl=51 time=32.8 ms
